Area,Year,Temperature_Change,Artificial surfaces (including urban and associated areas),Grassland,Herbaceous crops,Inland water bodies,Mangroves,Permanent snow and glaciers,Shrub-covered areas,"Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",Sparsely natural vegetated areas,Terrestrial barren land,Tree-covered areas,Woody crops,AFOLU,Agricultural Soils,Agrifood Systems Waste Disposal,Agrifood systems,All sectors with LULUCF,All sectors without LULUCF,Burning - Crop residues,Crop Residues,Drained organic soils,Drained organic soils (CO2),Drained organic soils (N2O),Emissions from crops,Emissions from livestock,Emissions on agricultural land,Energy,Enteric Fermentation,Farm gate,Fertilizers Manufacturing,Fires in humid tropical forests,Fires in organic soils,Food Household Consumption,Food Packaging,Food Processing,Food Retail,Food Transport,Forest fires,Forestland,IPCC Agriculture,IPPU,International bunkers,LULUCF,Land-use change,Manure Management,Manure applied to Soils,Manure left on Pasture,Net Forest conversion,On-farm energy use,Other,Pesticides Manufacturing,Pre- and post-production,Rice Cultivation,Savanna fires,Synthetic Fertilizers,Waste
"Ascension, Saint Helena and Tristan da Cunha",1992,0.111,1.41,9.81,0.9,6.96,0.0,0.0,1.39,0.0,18.5,3.35,2.75,0.9,0.0,0.0,0.0,0.16983333333333336,2.9779,2.9779,,,0.0,0.0,0.0,,,0.0,2.477866666666667,,0.0,,0.0,0.0,,,,,0.16983333333333336,0.0,0.0,0.0,0.00395,,0.0,0.0,,,,0.0,,0.0437,0.0,0.16983333333333336,,0.0,,0.46826666666666666
Australia,1992,0.253,578.82,127989.8,50420.99,2613.65,2632.05,0.0,183641.0,10034.71,278343.9,36818.23,76568.95,553.12,134408.84660000002,23425.7454,2447.4702333333335,114978.19110000001,202043.36095,188072.938,238.5343,1897.52185,1622.1825000000001,2807.5655,218.39974999999998,3663.728333333333,75689.89873333334,138253.18373333334,113105.5,72320.5459,118891.376,201.9585,102.1358,0.0,2055.105425,2508.6568666666667,3214.973033333333,999.66895,1790.608425,4026.4173833333334,-14095.1428,87215.0737,5096.276,,36379.30485,19361.80773333333,4389.0719,497.23749999999995,31246.097,80704.63575,2173.9048333333335,2176.5333333333333,352.1410333333333,11288.3033,848.1919,21379.3291,1908.6674,12905.233333333332
Austria,1992,1.245,79.86,1446.03,1697.61,67.97,0.0,36.99,300.15,13.15,113.23,202.18,4415.03,82.75,2710.8639333333335,2125.36415,837.9014999999999,7521.15925,21465.54395,24416.5733,9.091533333333333,262.79785000000004,196.8918,294.5884,49.5976,639.8106,5969.066333333333,7699.518166666666,19776.233333333334,5250.56545,7286.784666666666,,0.0,0.0,260.37575,151.7159333333333,375.4771666666666,142.20655,301.69875,0.4314,-12605.7902,5964.451066666667,1903.226,,-5974.066525,412.7335,1023.00445,704.5400999999999,498.253,1165.3177999999998,543.0187999999999,296.8,24.5581,1746.520625,,0.034466666666666666,628.2308499999999,3398.126666666667
Azerbaijan,1992,-0.824,32.18,938.75,3326.81,7987.2,0.0,0.0,981.08,3.27,908.06,461.49,1225.79,605.64,2807.789133333333,1588.2642500000002,544.1573,4838.6621,23254.76925,23550.22175,16.40168,93.7835,0.0,0.0,0.0,262.56373333333335,2922.721266666667,5330.614733333333,26437.589999999997,2951.6704,5330.614733333333,,0.0,0.0,38.465925,2.7797,0.0,398.7,255.55210000000002,1.9533333333333334,-1187.67,3322.626233333333,289.5849,,-1200.7024999999999,0.0,269.2880333333333,84.0315,1328.922,0.0,2128.888933333333,124.55,1.3575333333333333,840.70105,6.6864,16.423133333333332,275.8915,1250.3166666666666
Bahamas,1992,0.25,6.08,154.44,13.07,531.93,85.17,0.0,34.88,292.03,3.54,2.92,398.96,3.73,46.17273333333333,8.427,148.193,176.996225,810.2332666666666,780.7889999999999,0.0886,0.0265,0.0,0.0,0.0,0.8482666666666666,9.602333333333332,37.53686666666667,633.4436666666667,4.7376,16.728466666666666,,20.808400000000002,0.0,24.543699999999998,,,13.171175,5.9712,29.444266666666667,0.0,16.728466666666666,1.9758,,29.444266666666667,20.808400000000002,1.5660666666666667,2.7295,4.558,0.0,,9.699,2.188466666666667,148.84357500000002,,6.2974,1.113,122.83366666666666
Bahrain,1992,-0.646,11.72,1.7,0.86,8.66,0.0,0.0,0.37,0.04,2.45,45.01,2.59,1.73,24.2942,14.3895,221.2459,443.145,12096.5354,12096.5354,,0.0,0.0,0.0,0.0,1.6695,23.1812,30.538166666666665,15040.701333333333,20.4932,30.538166666666665,101.1022,0.0,0.0,51.63665,108.89783333333332,,61.666925,33.931425000000004,0.0,0.0,24.2942,571.5485,,0.0,0.0,1.0390666666666666,0.6625,12.084,0.0,6.243966666666666,31.8,0.16383333333333336,420.241375,,0.0,1.643,280.45366666666666
Bangladesh,1992,0.032,15.72,963.89,9410.58,1285.0,464.34,0.0,894.73,35.53,1.96,4.76,776.74,371.66,52714.83093333334,12543.9605,9626.943099999999,47848.66415,50247.50225,45382.25635,373.6314,2181.268,18938.0621,18180.9836,757.0785,23337.360133333335,22372.526133333333,53152.217800000006,8376.133333333333,25693.36,52724.504733333335,663.2362,82.0,0.0,66.32063333333333,0.7162666666666667,,478.00969999999995,81.3827,82.0,-3.1392,46227.8364,572.17905,,6486.9945333333335,427.7130666666667,1463.7106,925.1415,4744.719,1037.1392,436.3404666666667,312.7,12.213366666666666,7984.5008,28328.5688,13.234866666666667,3935.7535,4934.333333333333
Barbados,1992,0.562,3.2,4.08,24.87,3.95,0.0,0.0,1.47,0.27,0.03,0.0,7.11,1.55,68.84483333333334,34.1055,100.36226666666666,170.748375,630.8150333333333,629.4994,0.4243333333333333,0.0795,0.0,0.0,0.0,5.989333333333334,61.53426666666667,67.94233333333334,444.70966666666664,59.0156,67.94233333333334,,0.0,0.0,25.903433333333336,,,11.447225,9.8315,0.0,3.9469,67.5292,45.4508,,1.3156333333333332,0.0,5.018533333333333,6.9165,18.8415,0.0,0.41313333333333335,6.996,8.362,119.79162500000001,,0.0056,8.268,82.296
Belarus,1992,1.252,57.12,1304.26,9746.93,212.2,0.0,0.0,533.68,40.75,1.32,0.13,8664.83,283.56,15192.793033333333,11323.484349999999,969.5005666666666,31353.081775000002,37795.76607500001,41008.4582,3.0292,747.3977,27140.56135,42471.2363,5904.9432,1295.4165333333333,12878.4078,37748.253333333334,31668.266666666663,12589.46235,36758.89353333333,46.5661,0.0,0.0,350.08175,185.05266666666662,1127.1118,561.950875,378.9332,17.331733333333332,-51468.68135,18058.205966666665,1217.1088,,-11172.65965,989.3598000000001,1784.6978,1262.402,803.533,258.21055,3125.4322333333334,282.6666666666667,21.858766666666668,3041.891775,,5.649866666666667,1763.4955,1627.8166666666668
Belgium-Luxembourg,1992,1.011,127.46,664.75,1586.74,20.47,0.0,0.0,105.82,9.53,1.06,0.49,801.99,32.42,6924.212166666667,2813.717,1375.9516333333333,10244.465733333333,43050.224875,44178.27145,6.065866666666667,146.7835,261.2565,221.321,39.9355,740.2925333333333,7661.3292,8837.669233333334,41525.920000000006,7002.7748,8502.047933333333,,0.0,0.0,,,,,,0.05313333333333333,-5740.5306,8428.274266666667,3812.0382499999996,,-1504.0620999999999,335.62129999999996,1877.8516666666667,1060.6625,611.779,1006.8639,,365.5233333333333,30.844800000000003,1406.7965000000002,,0.028866666666666665,954.5565,3501.9266666666663
Belize,1992,0.354,0.45,62.71,67.23,97.73,53.23,0.0,81.65,15.25,0.02,0.83,1841.36,37.22,1722.4621,55.0405,129.2522,1404.662525,1479.620875,284.88905,1.8475333333333335,2.332,157.1548,149.7348,7.42,10.4486,104.9212,1721.7974000000002,133.893,113.1004,179.39793333333333,,70.2864,0.0,4.786075,,,1.560125,5.129725,70.2864,1.9941,129.48633333333333,23.5034,,1592.9757666666667,1542.3994666666667,4.822933333333333,5.4325,31.588,4416.3392,,6.0685,6.5325999999999995,113.314475,2.3016,9.187533333333333,8.268,88.92366666666668
Benin,1992,0.013,14.5,418.85,3257.75,44.16,8.09,0.0,4158.56,2.54,0.13,4.2,3460.29,220.18,936.8688333333334,782.0415,301.4512666666667,8009.35295,1709.451625,2633.1061,29.832333333333334,47.3555,0.0,0.0,0.0,88.26199999999999,1449.8729333333333,10261.696066666666,859.1466666666666,1338.7584,2168.4081333333334,,79.6184,0.0,3.107766666666667,0.0,0.0,58.46135,17.980733333333333,380.5718,-28877.3419,2168.4081333333334,29.823666666666668,,-1231.5393,8093.287933333333,90.36666666666667,62.699,637.802,24041.0086,0.0,106.53,16.953100000000003,313.08090000000004,6.104,630.2732,34.185,382.4096666666666
Bhutan,1992,-0.067,0.02,580.25,59.06,1.28,0.0,113.14,263.94,0.06,4.99,7.22,2862.61,8.31,-1066.2879,60.526,49.05036666666666,297.99692500000003,-753.0295,651.6701333333334,3.6811333333333334,8.6125,0.0,0.0,0.0,74.0146,263.4766,344.4221,258.05333333333334,315.0672,339.6895666666667,,4.7325333333333335,0.0,0.29429999999999995,,,4.7498,0.36516666666666664,15.522599999999999,-4260.6667,338.4117333333333,19.8616,,-1404.6996333333334,4.7325333333333335,19.1938,9.6195,41.7375,0.0,1.2778333333333334,20.8025,0.03093333333333333,39.680350000000004,96.3312,0.9205333333333333,0.5565,21.475133333333332
Bolivia (Plurinational State of),1992,0.054,52.59,10713.65,3162.82,1118.1,0.0,91.57,10870.22,2673.68,7441.39,8668.99,63487.14,266.26,40171.578700000005,3463.6295,863.3471333333333,30930.543124999997,37435.117025,16091.651150000002,28.631133333333334,110.2135,0.0,0.0,0.0,285.7029333333333,10068.071066666666,40056.17353333333,9108.733333333332,11336.1416,11756.677566666667,216.378,5167.7262,0.0,107.899425,0.0,,12.871625000000002,81.37886666666667,5454.510066666667,-384.976,11713.6242,122.84733333333334,,28457.954500000003,28299.49596666667,295.2805333333333,189.74,3133.307,69395.3093,43.05336666666667,239.295,6.6705,888.412975,245.0252,1359.8483333333334,30.369,350.8
Bosnia and Herzegovina,1992,0.672,17.39,685.34,1011.81,28.68,0.0,0.0,250.72,6.41,3.27,1.09,2977.42,178.56,-1897.3967,464.7305,351.1451,1951.92175,4539.807124999999,7299.09335,12.434866666666666,64.13,141.9076,119.7801,22.1275,55.1882,1707.0839333333333,1821.5783000000001,7117.2266666666665,1699.012,1821.5783000000001,25.775399999999998,0.0,0.0,77.970725,2.2943666666666664,0.0,140.103275,67.44135,10.025,-11187.0,2169.8658,262.89215,,-5296.036225,0.0,322.07626666666664,194.934,183.539,0.0,0.0,58.565,29.673900000000003,585.738025,,4.645466666666667,0.0,443.68
Botswana,1992,0.894,12.7,4034.2,2646.7,43.85,0.0,0.0,45411.6,756.15,54.5,918.68,4036.59,10.59,6371.1024333333335,1063.3655,72.2028,4878.6145,5961.130825,5812.9871,0.9951333333333333,3.975,534.4415,513.4005,21.041,4.758133333333333,2182.5317333333332,6359.258433333333,1375.14,2151.87,6359.258433333333,,0.0,0.0,16.0104,0.0,0.0,20.6212,26.481233333333336,26.39146666666667,0.0,6173.577466666667,12.823,,197.5249666666667,0.0,56.81406666666667,13.992,1022.7145,0.0,14.547466666666665,111.3,3.3714999999999997,109.17067499999999,,3972.2779333333333,1.643,114.90899999999999
Brazil,1992,0.428,994.06,62681.63,121774.7,10772.98,629.76,0.0,147870.5,12708.63,179.86,448.25,467312.7,23756.77,762132.6777,81766.25349999999,44362.791800000006,758613.1055749999,687913.103275,304241.1442,1870.5274333333334,4277.312,359.8416,339.8606,19.981,12850.787533333334,230552.18773333333,954463.4711333333,92278.66666666667,251759.956,255480.42553333333,1235.9290500000002,9164.131666666666,0.0,3132.897575,319.36736666666667,0.0,2684.89505,3359.6476333333335,9455.769666666667,-563476.0751,243515.69946666667,9357.12,,574533.7090749999,698983.0456,8294.979033333335,8384.2555,65050.027,2069456.7418,4797.073066666667,4664.0,397.8532666666667,42765.502225000004,8525.1292,7153.753866666667,4642.0315,47220.63333333333
British Virgin Islands,1992,0.285,0.53,1.39,0.05,11.1,1.53,0.0,0.05,2.9,0.03,0.0,6.19,0.03,0.0,0.0,0.41300000000000003,1.5814,28.641133333333332,28.641133333333332,,,0.0,0.0,0.0,,,0.0,27.168066666666665,,0.0,,0.0,0.0,,,,1.3472,0.7303999999999999,0.0,0.0,0.0,0.07959999999999999,,0.0,0.0,,,,0.0,,0.2677,0.06703333333333333,1.5814,,0.0,,1.2416
Brunei Darussalam,1992,0.454,1.1,10.53,27.8,16.56,19.3,0.0,7.64,0.0,0.23,0.0,498.68,27.8,506.5115333333333,24.9895,103.61256666666668,543.616125,2602.89095,2246.18485,0.05686666666666667,0.1855,331.0947,318.0302,13.0645,4.700733333333333,17.4064,515.9017,2914.283,8.862,147.09380000000002,,8.9254,117.509,59.188224999999996,0.0,,0.41945,24.156566666666663,8.9254,2.3705,30.9034,1.5573000000000001,,475.60813333333334,368.8079,3.6720666666666664,4.558,7.1815,844.6295,10.180333333333333,14.8135,1.6735333333333335,156.68985,6.8068,0.06893333333333333,0.0,37.77466666666667
Bulgaria,1992,0.18,105.24,790.88,5199.89,113.23,0.0,0.0,378.04,7.97,12.47,61.46,4131.12,363.62,-1345.6129666666664,2990.4027,638.4004666666666,6622.894625,19046.047274999997,24501.64345,43.30478333333334,535.44085,675.26115,1133.6079,108.4572,1055.9754,4731.693533333333,7677.0723333333335,19881.899999999998,4624.85935,6902.665066666666,1.481,0.0,0.0,268.384475,55.226099999999995,0.0,6.813149999999999,39.660066666666665,4.002466666666667,-20911.565199999997,6090.559333333334,1392.7869999999998,,-10131.58195,774.4072666666666,939.0288,578.6999000000001,719.21,1195.4086,596.2805,151.58,52.24966666666668,865.090375,40.55945,3.3485333333333336,812.30695,4849.813333333333
Burkina Faso,1992,-0.011,12.66,5801.54,15512.02,95.38,0.0,0.0,4234.14,25.72,83.28,86.18,1289.95,262.76,17523.965,3139.3755,960.6861333333333,13442.688900000001,14963.38475,7317.2448,15.139533333333333,190.747,0.0,0.0,0.0,291.88640000000004,5957.830999999999,16843.4054,1650.8,5681.7712,7331.685066666668,,37.69526666666667,0.0,3.1919000000000004,0.0,0.0,72.07655,15.369266666666668,529.5199333333334,573.9248,7329.111733333334,8.984666666666667,,10194.853266666667,9511.720333333333,238.4692,116.2025,2781.069,28422.0752,2.5733333333333333,196.365,4.830466666666666,810.1348499999999,173.0456,1079.3748,51.357,636.52
Burundi,1992,0.234,2.05,457.61,1009.37,202.36,0.0,0.0,280.87,26.68,0.0,0.0,334.05,401.58,2493.793766666666,513.5965,519.5488,2283.270875,2794.9000749999996,1536.1871,8.617600000000001,41.5255,3094.2536,2949.3516,144.902,59.895266666666664,642.987,2491.6918666666666,902.2466666666666,609.3556,1798.6269999999997,,0.5212666666666667,0.0,0.8587666666666666,,,39.6917,5.0868,3.389,-2.2975,815.5097999999999,3.52475,,1678.2839666666666,693.0648666666666,25.262266666666665,16.536,300.6955,2077.6308,,40.28,0.7140333333333334,414.501975,25.48,16.008533333333332,9.9375,285.5133333333333
Cabo Verde,1992,0.656,2.3,52.75,21.57,41.17,0.0,0.0,146.75,3.41,6.45,150.3,9.03,1.58,80.62183333333333,42.771,48.51226666666667,106.923575,145.24655,147.07987500000002,2.1730666666666667,1.1395,0.0,0.0,0.0,2.9504,80.11213333333333,83.06626666666666,93.65899999999999,46.6648,83.06626666666666,,0.0,0.0,3.7418,,,2.362075,4.084833333333333,0.0,-7.3333,83.06626666666666,0.3225,,-2.4444333333333335,0.0,21.265600000000003,18.126,23.5055,0.0,,2.4751,0.010199999999999999,44.623875,,0.0037333333333333333,0.0,17.408666666666665
Cambodia,1992,0.448,4.77,1013.74,5762.81,429.0,43.21,0.0,1470.96,472.11,0.26,1.77,8856.38,179.11,15401.698799999998,1338.356,810.6946333333334,11566.881,12969.4293,9333.63135,61.4358,259.3025,0.0,0.0,0.0,5178.588199999999,4577.447666666667,14173.296833333332,1061.4466666666667,4614.568,10553.968200000001,,1680.7160666666666,0.0,8.227166666666667,,,574.714,41.62473333333333,3156.1750666666667,-741.1711,10553.968200000001,7.686933333333333,,4847.7306,3619.328633333333,816.2736666666666,305.8365,721.3565,5815.8377,0.0,625.4,5.522100000000001,936.908375,7364.5656,797.9323333333333,51.8605,404.8066666666667
Cameroon,1992,-0.237,25.75,1645.97,4589.24,410.49,236.91,0.0,2625.9,170.47,0.17,4.88,35998.38,924.01,23977.61003333333,2791.9605,1101.6650333333334,19091.862375,26414.593025,13714.0072,28.520133333333334,84.5085,1338.1111,1285.5351,52.576,139.03279999999998,5428.4264,23948.819999999996,9095.086666666666,5180.56,7472.0073,,772.2509333333334,0.0,12.0342,0.0,0.0,256.93489999999997,48.491233333333334,852.6027333333333,-154.6853,7043.495599999999,696.3573333333334,,16934.114433333332,16476.8127,239.37606666666667,136.1305,2466.885,47113.6853,,720.8,2.2262,1130.247375,29.4,1440.9857333333332,51.8605,969.8699999999999
Canada,1992,0.091,551.59,160093.9,51984.18,116344.8,0.0,18553.22,52743.54,11999.24,110469.7,39864.36,439281.6,154.95,71142.76466666667,16452.57565,4208.246366666667,79226.743575,219023.4635,191766.5272,256.11663333333337,2706.01265,21476.64255,36138.3144,3407.48535,7454.327333333334,22209.226066666666,88389.12503333333,181493.33333333334,23961.76745,50833.23736666667,4788.452649999999,0.0,0.0,2287.9945500000003,1405.6640666666665,0.0,729.7144,3268.05545,1583.9214,-128655.94645,32116.979316666668,16487.69,,14019.317700000001,37555.88766666667,4402.9422,1201.8248,4081.477,59427.24925,3986.949633333333,2915.0,59.301633333333335,12934.8998,,629.2092,5666.29245,15468.266666666668
Cayman Islands,1992,,0.29,0.67,0.97,9.29,8.77,0.0,0.33,0.93,0.04,0.0,9.64,2.42,4.355566666666667,0.0,0.6829333333333333,9.0279,4.355566666666667,0.0,,,0.0,0.0,0.0,,,1.6554,,,0.0,,0.0018666666666666666,0.0,1.4646,,,2.0295,4.121833333333334,0.0018666666666666666,8.1005,0.0,,,4.355566666666667,1.6554,,,,4.9606,,,2.759233333333333,7.7863500000000005,,0.0,,
Central African Republic,1992,-0.54,8.23,4970.13,779.68,103.26,0.0,0.0,5086.69,25.62,0.0,0.31,51133.11,33.31,29492.114699999995,1308.2785,332.43260000000004,21941.829675,23983.570775,10049.941449999998,4.421666666666667,6.519,33.2277,31.9027,1.325,19.288733333333333,2763.891,28871.460600000002,401.34,2685.4268,10924.576500000001,,11687.786466666666,0.0,0.7663333333333333,,,35.1823,3.5106,12308.5382,-0.2929,10913.942266666667,3.095333333333333,,18578.172433333333,17946.8841,109.9538,59.731,1235.748,18777.2929,,2862.0,0.6930000000000001,288.23422500000004,10.8024,8129.895,4.9555,173.54433333333336
Chad,1992,-0.301,14.33,15828.4,17441.4,356.14,0.0,0.0,15667.11,660.47,6766.39,63989.66,5909.97,146.13,17209.8573,4579.4385,529.1870666666667,13025.941025,14220.564725,11732.5987,6.344733333333333,77.2475,0.0,0.0,0.0,143.14433333333332,10330.355266666667,16715.68593333333,971.3066666666667,10560.7908,13892.569266666665,,783.4055333333334,0.0,11.383433333333334,,,75.52885,10.126333333333333,1279.8436,-6.8001,13892.569266666665,5.978999999999999,,3317.288033333333,2823.1166666666663,303.8964,71.8945,4407.003,6119.1334,,469.05,0.8334666666666668,489.176575,104.6612,3419.0678000000003,23.2935,460.91
Channel Islands,1992,0.472,1.89,2.24,6.35,3.9,0.0,0.0,0.47,0.0,0.0,0.01,2.52,6.35,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,,,0.0,,,,,,,,,0.0,,0.0,,,0.0,,,,,,,,,0.0,,0.0,,
Chile,1992,-0.119,100.23,4937.96,2968.88,4717.45,0.0,2828.4,14499.0,116.38,11644.1,13905.28,20484.11,323.66,1590.3392666666666,3481.146,2123.1017333333334,9368.77665,16447.34945,20766.71795,19.393333333333334,181.843,1185.9009,998.2279,187.673,911.8242666666666,6292.270733333334,9480.974499999998,14420.666666666666,6989.5168,8016.370266666668,54.445049999999995,0.0,0.0,206.09932500000002,71.39313333333332,0.0,105.97485,363.8372,173.21046666666666,-23189.146,7349.497266666666,493.29499999999996,,-5759.158,1464.6042333333335,198.21853333333334,361.1155,1790.446,4393.8127,334.13036666666665,254.4,0.0,2258.045775,196.7084,20.3046,960.0685,5006.666666666667
